timestamp,ts,mac,mc_id,temp,tp,humid,hm,light,lgt,EC,e,Mois,mc
timestamp_s,1553231497085,mac_s,866104025317119_NLNNT1,Temperature,38.5,Humidity,42.6,Light,16233,EC,null,Mois,null
timestamp_s,1553231433903,mac_s,866104025317119_NLNNT1,Temperature,38.5,Humidity,42.5,Light,15519,EC,null,Mois,null
timestamp_s,1553231368823,mac_s,866104025317119_NLNNT1,Temperature,38.6,Humidity,41.9,Light,16649,EC,null,Mois,null
timestamp_s,1553231304851,mac_s,866104025317119_NLNNT1,Temperature,38.4,Humidity,44.3,Light,16367,EC,null,Mois,null
timestamp_s,1553231240892,mac_s,866104025317119_NLNNT1,Temperature,38.5,Humidity,44.0,Light,16439,EC,null,Mois,null
timestamp_s,1553231178081,mac_s,866104025317119_NLNNT1,Temperature,38.6,Humidity,43.3,Light,16142,EC,null,Mois,null
timestamp_s,1553231112942,mac_s,866104025317119_NLNNT1,Temperature,38.6,Humidity,43.0,Light,15889,EC,null,Mois,null
timestamp_s,1553231049642,mac_s,866104025317119_NLNNT1,Temperature,38.6,Humidity,42.9,Light,17306,EC,null,Mois,null
timestamp_s,1553230985743,mac_s,866104025317119_NLNNT1,Temperature,38.8,Humidity,43.6,Light,16211,EC,null,Mois,null
timestamp_s,1553230921454,mac_s,866104025317119_NLNNT1,Temperature,38.7,Humidity,43.3,Light,19186,EC,null,Mois,null
timestamp_s,1553230857549,mac_s,866104025317119_NLNNT1,Temperature,38.6,Humidity,44.3,Light,17971,EC,null,Mois,null
timestamp_s,1553230793531,mac_s,866104025317119_NLNNT1,Temperature,38.4,Humidity,44.0,Light,18950,EC,null,Mois,null
timestamp_s,1553230729302,mac_s,866104025317119_NLNNT1,Temperature,38.3,Humidity,44.5,Light,19951,EC,null,Mois,null
timestamp_s,1553230665305,mac_s,866104025317119_NLNNT1,Temperature,38.2,Humidity,44.0,Light,18108,EC,null,Mois,null
timestamp_s,1553230473348,mac_s,866104025317119_NLNNT1,Temperature,37.8,Humidity,45.2,Light,19608,EC,null,Mois,null
timestamp_s,1553230409629,mac_s,866104025317119_NLNNT1,Temperature,37.6,Humidity,45.7,Light,19183,EC,null,Mois,null
timestamp_s,1553230282010,mac_s,866104025317119_NLNNT1,Temperature,37.5,Humidity,45.3,Light,20025,EC,null,Mois,null
timestamp_s,1553230217427,mac_s,866104025317119_NLNNT1,Temperature,37.6,Humidity,45.5,Light,20204,EC,null,Mois,null
timestamp_s,1553230153513,mac_s,866104025317119_NLNNT1,Temperature,37.6,Humidity,45.7,Light,19650,EC,null,Mois,null
timestamp_s,1553230089678,mac_s,866104025317119_NLNNT1,Temperature,37.6,Humidity,45.1,Light,20905,EC,null,Mois,null
timestamp_s,1553230025564,mac_s,866104025317119_NLNNT1,Temperature,37.5,Humidity,45.5,Light,20780,EC,null,Mois,null
timestamp_s,1553229964459,mac_s,866104025317119_NLNNT1,Temperature,37.5,Humidity,46.8,Light,20887,EC,null,Mois,null
timestamp_s,1553229897492,mac_s,866104025317119_NLNNT1,Temperature,37.5,Humidity,45.3,Light,20881,EC,null,Mois,null
timestamp_s,1553229834094,mac_s,866104025317119_NLNNT1,Temperature,37.5,Humidity,46.1,Light,21595,EC,null,Mois,null
timestamp_s,1553229769684,mac_s,866104025317119_NLNNT1,Temperature,37.4,Humidity,45.8,Light,22778,EC,null,Mois,null
timestamp_s,1553229641720,mac_s,866104025317119_NLNNT1,Temperature,37.3,Humidity,45.9,Light,22735,EC,null,Mois,null
timestamp_s,1553229577794,mac_s,866104025317119_NLNNT1,Temperature,37.2,Humidity,46.2,Light,21977,EC,null,Mois,null
timestamp_s,1553229513838,mac_s,866104025317119_NLNNT1,Temperature,37.1,Humidity,45.5,Light,22053,EC,null,Mois,null
timestamp_s,1553229451946,mac_s,866104025317119_NLNNT1,Temperature,37.0,Humidity,46.6,Light,21752,EC,null,Mois,null
timestamp_s,1553229321920,mac_s,866104025317119_NLNNT1,Temperature,36.8,Humidity,45.6,Light,21914,EC,null,Mois,null
timestamp_s,1553229193897,mac_s,866104025317119_NLNNT1,Temperature,36.7,Humidity,47.4,Light,22470,EC,null,Mois,null
timestamp_s,1553229130441,mac_s,866104025317119_NLNNT1,Temperature,36.6,Humidity,47.5,Light,22596,EC,null,Mois,null
timestamp_s,1553229066156,mac_s,866104025317119_NLNNT1,Temperature,36.3,Humidity,47.9,Light,22770,EC,null,Mois,null
timestamp_s,1553229011436,mac_s,866104025317119_NLNNT1,Temperature,36.2,Humidity,48.0,Light,23052,EC,null,Mois,null
timestamp_s,1553228990995,mac_s,866104025317119_NLNNT1,Temperature,36.1,Humidity,48.0,Light,23155,EC,null,Mois,null
timestamp_s,1553228927981,mac_s,866104025317119_NLNNT1,Temperature,35.9,Humidity,49.6,Light,23951,EC,null,Mois,null
timestamp_s,1553228862934,mac_s,866104025317119_NLNNT1,Temperature,35.7,Humidity,49.9,Light,23435,EC,null,Mois,null
timestamp_s,1553228739376,mac_s,866104025317119_NLNNT1,Temperature,35.3,Humidity,50.2,Light,22438,EC,null,Mois,null
timestamp_s,1553228670958,mac_s,866104025317119_NLNNT1,Temperature,35.3,Humidity,51.7,Light,22578,EC,null,Mois,null
timestamp_s,1553228606970,mac_s,866104025317119_NLNNT1,Temperature,36.0,Humidity,59.1,Light,22820,EC,null,Mois,null
timestamp_s,1553228542965,mac_s,866104025317119_NLNNT1,Temperature,36.5,Humidity,49.5,Light,24629,EC,null,Mois,null
timestamp_s,1553228409911,mac_s,866104025317119_NLNNT1,Temperature,36.1,Humidity,48.0,Light,25489,EC,null,Mois,null
timestamp_s,1553228289295,mac_s,866104025317119_NLNNT1,Temperature,35.7,Humidity,49.4,Light,25670,EC,null,Mois,null
timestamp_s,1553228225279,mac_s,866104025317119_NLNNT1,Temperature,35.6,Humidity,48.7,Light,26113,EC,null,Mois,null
